channel,temperature,mean,std deviation
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.1
4,30,30.1
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.1
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.08
4,30,30.08
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.1
5,20,20.11
5,20,20.11
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.11
5,20,20.11
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.12
5,20,20.11
5,20,20.11
5,20,20.11
5,20,20.11
5,20,20.11
5,20,20.12
5,25,25.15
5,25,25.15
5,25,25.14
5,25,25.14
5,25,25.14
5,25,25.14
5,25,25.14
5,25,25.13
5,25,25.13
5,25,25.13
5,25,25.13
5,25,25.13
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.12
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.11
5,25,25.1
5,25,25.1
5,25,25.1
5,25,25.09
5,25,25.09
5,25,25.09
5,25,25.09
5,25,25.09
5,25,25.09
5,25,25.09
5,25,25.1
5,25,25.1
5,25,25.1
5,25,25.1
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.11
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
